id,fips,county,city,state,sizecat,pop,density
1,6075,San Francisco,San Francisco,CA,2,881549,17255
2,53033,Seattle,Seattle,WA,2,2252782,5175
3,36061,New York,New York,NY,1,5803210,40306
4,39035,Cuyahoga,Cleveland,OH,2,1235072,3063
5,48113,Dallas,Dallas,TX,2,2635516,4000
6,39151,Stark,Canton,OH,3,370606,1688
7,34013,Essex,Newark,NJ,3,798975,6396
8,13089,DeKalb,Atlanta,GA,2,1063937,2708
9,17167,Sangamon,Springfield,IL,3,194672,1747
10,38015,Burleigh,Bismarck,ND,3,95626,2157
11,4013,Maricopa,Phoenix,AZ,1,4485414,2798
12,42003,Allegheny,Pittsburgh,PA,2,1216045,5461
13,27053,Hennepin,Minneapolis,MN,2,1265843,7821
14,31055,Douglas,Omaha,NE,2,571327,3378
15,8031,Denver,Denver,CO,2,727211,4520